date,interval,timeUnit,transferred,transferUnit,bandwidth,bandwidthUnit,writeError,pps,ppsLabel
2018-10-01_15:25:21,0.00-10.00,sec,119,MBytes,100,Mbits/sec,85030/15,8503,pps
2018-10-01_15:25:32,0.00-10.00,sec,238,MBytes,200,Mbits/sec,170068/10,17006,pps
2018-10-01_15:25:43,0.00-10.00,sec,358,MBytes,300,Mbits/sec,255214/10,25510,pps
2018-10-01_15:25:54,0.00-10.00,sec,477,MBytes,400,Mbits/sec,340169/10,34013,pps
2018-10-01_15:26:05,0.00-10.00,sec,596,MBytes,500,Mbits/sec,425334/10,42516,pps
2018-10-01_15:26:16,0.00-10.00,sec,716,MBytes,600,Mbits/sec,510381/10,51020,pps
2018-10-01_15:26:27,0.00-10.00,sec,834,MBytes,700,Mbits/sec,595244/10,59523,pps
2018-10-01_15:26:38,0.00-10.00,sec,954,MBytes,800,Mbits/sec,680239/10,68027,pps
2018-10-01_15:26:49,0.00-10.00,sec,1.05,GBytes,900,Mbits/sec,765494/10,76530,pps
2018-10-01_15:27:00,0.00-10.00,sec,1.11,GBytes,956,Mbits/sec,813035/5822266,81307,pps
